,tel,appid,time,count
143,13900000082,10005,332,3
144,13900000082,10205,564,1
145,13900000083,180369,1157,4
146,13900000083,200844,65,1
147,13900000083,270386,150,1
148,13900000084,151186,2031,1
149,13900000085,10005,91,1
150,13900000086,10005,348,4
151,13900000087,341348,84780,2
152,13900000088,340812,73,1
153,13900000089,11282,61207,1
154,13900000090,10006,3855,2
155,13900000091,10005,150,1
156,13900000092,10005,2316,4
157,13900000093,10001,254,2
158,13900000093,10005,91,1
159,13900000094,60069,77970,1
160,13900000094,180369,95218,1
161,13900000094,200335,511,2
162,13900000094,200442,182,1
163,13900000094,270232,190663,6
164,13900000095,10005,27546,15
165,13900000095,51176,214,1
166,13900000095,270386,91,1
167,13900000096,10005,13631,1
168,13900000097,10005,591,4
169,13900000097,340948,315,1
170,13900000098,10001,135,1
171,13900000099,10005,91,1
172,13900000100,10001,224,2
173,13900000101,270389,50,1
174,13900000102,50057,64,1
175,13900000103,10005,227,2
176,13900000104,10005,518,1
177,13900000105,90144,86,1
178,13900000106,10001,180,1
179,13900000106,11282,190,1
180,13900000106,70106,935,2
181,13900000106,180688,110,1
182,13900000107,270231,287,1
183,13900000108,50066,28139,21
184,13900000108,50501,6280,3
185,13900000109,10005,150,1
186,13900000110,340812,141,1
187,13900000111,10005,4623,5
188,13900000111,81416,6670,10
189,13900000112,10001,125,1
190,13900000113,50057,140,1
191,13900000113,151229,76,1
192,13900000113,231973,70,1
193,13900000113,240213,461,2
194,13900000114,60071,110,1
195,13900000115,10005,995,5
196,13900000116,200352,2200,1
197,13900000117,10001,1890,1
198,13900000118,231973,942,2
199,13900000118,270231,75,1
200,13900000118,271134,138,1
201,13900000118,341309,240,1
202,13900000119,10005,295,2
203,13900000120,20450,46,1
204,13900000120,180688,179,1
205,13900000120,330400,2366,3
206,13900000121,10005,108,1
207,13900000122,10005,159,1
208,13900000123,70109,150,1
209,13900000124,10005,151,1
210,13900000125,10005,70,1
211,13900000125,170392,208,1
212,13900000126,10005,71755,1
213,13900000127,200925,2352,3
214,13900000128,10005,109,1
215,13900000129,10005,435,3
216,13900000130,220499,26395,2
217,13900000130,340812,3128,1
218,13900000131,221061,63,1
219,13900000131,270231,13609,1
220,13900000132,10005,24943,33
221,13900000133,180309,59,1
222,13900000134,10005,313,2
223,13900000134,151250,130,1
224,13900000135,10001,160,1
225,13900000136,180230,75,1
226,13900000137,80609,322,1
227,13900000138,10005,6588,5
228,13900000139,201131,61,1
229,13900000140,10005,150,1
230,13900000141,10005,708,2
231,13900000142,10005,205,2
232,13900000143,10005,3379,5
233,13900000143,40423,531,9
234,13900000143,71537,145,1
235,13900000143,171346,32950,1
236,13900000143,270832,0,1
237,13900000143,370955,139,1
238,13900000144,10005,120,1
239,13900000145,10005,582,3
240,13900000146,10001,212,1
241,13900000146,10005,161,1
242,13900000146,50501,364,2
243,13900000146,270386,166,1
244,13900000147,10001,98921,5
245,13900000147,10205,7902,2
246,13900000147,31480,60201,1
247,13900000147,200335,55,1
248,13900000148,10005,17238,20
249,13900000148,200837,40,1
250,13900000149,10001,277,1
251,13900000150,10005,1067,5
252,13900000151,10205,1025,3
253,13900000152,50066,108311,19
254,13900000152,50501,34917,4
255,13900000152,220371,6454,1
256,13900000153,10005,170,1
257,13900000154,71345,94,1
258,13900000155,10005,110,1
259,13900000156,50417,15265,1
260,13900000156,60071,149,1
261,13900000156,200418,40241,1
262,13900000156,341309,239,1
263,13900000157,250366,47,1
264,13900000158,10005,3196,1
265,13900000159,231973,75,1
266,13900000160,10005,4979,9
267,13900000161,51390,3127,4
268,13900000161,340812,100,1
269,13900000162,240919,86,1
270,13900000163,180182,2031,1
271,13900000163,180229,3722,3
272,13900000164,250331,70,1
273,13900000164,341211,215,1
274,13900000165,10005,2834,2
275,13900000166,10005,5912,4
276,13900000167,10005,0,1
277,13900000168,41313,5734,2
278,13900000168,200352,2647,2
279,13900000168,340786,485,1
280,13900000169,10001,660,6
281,13900000170,10005,4351,2
282,13900000171,10005,3796,2
283,13900000172,100408,15921,7
284,13900000172,341505,2539,7
285,13900000173,70106,204,1
286,13900000174,10005,809,3
287,13900000175,341309,34531,1
288,13900000176,50057,240,2
289,13900000177,30047,27719,72
290,13900000178,50066,23743,2
291,13900000179,10005,1857,4
292,13900000180,10005,115,1
293,13900000180,341500,0,1
294,13900000181,50367,80,1
295,13900000182,10005,101,1
296,13900000183,200415,0,1
297,13900000184,71249,154,1
298,13900000185,341643,160,1
299,13900000186,10005,141,1
300,13900000187,10005,181,1
301,13900000188,10005,106,1
302,13900000189,200335,71922,1
303,13900000189,221193,24101,2
304,13900000190,10205,16575,2
305,13900000191,10001,1784,1
306,13900000192,10005,103,1
307,13900000192,60071,149,1
308,13900000192,70328,3505,1
309,13900000193,10005,695,3
310,13900000194,80609,540,1
311,13900000195,10001,160,1
312,13900000196,10005,286,2
313,13900000197,10005,277,1
314,13900000197,10205,178,1
315,13900000198,10005,195,1
316,13900000199,10005,0,1
317,13900000200,10001,687,4
318,13900000200,10005,19597,2
319,13900000200,160334,1445,1
320,13900000201,10005,161,1
321,13900000201,151341,150,1
322,13900000202,10001,0,1
323,13900000202,211343,848,4
324,13900000203,10005,524,1
325,13900000204,10001,2590,1
326,13900000205,10005,9192,2
327,13900000205,50065,20260,1
328,13900000206,10005,458,3
329,13900000207,20022,240,1
330,13900000208,10005,1084,2
331,13900000209,180688,391,1
332,13900000210,60075,47496,3
333,13900000210,90355,30511,2
334,13900000211,10005,5176,8
335,13900000212,10005,183,1
336,13900000213,10005,2,1
337,13900000213,60494,215931,3
338,13900000214,151186,1670,1
339,13900000215,221135,751,3
340,13900000215,371263,2160,1
341,13900000216,10005,1058,2
342,13900000217,10005,4412,3
343,13900000218,81416,4787,5
344,13900000219,10001,156961,4
345,13900000219,30428,89,1
346,13900000219,50053,159,1
347,13900000220,220499,276,1
348,13900000220,341309,120,1
349,13900000221,10005,2332,3
350,13900000222,50065,430,1
351,13900000222,171190,91,1
352,13900000222,171191,189,1
353,13900000223,10005,180,1
354,13900000224,11233,90,1
355,13900000225,341309,79,1
356,13900000226,10001,1480,2
357,13900000226,10205,26006,5
358,13900000226,220371,35619,1
359,13900000226,220499,4494,2
360,13900000227,10005,2365,2
361,13900000227,10006,8343,5
362,13900000228,10005,19674,5
363,13900000228,20026,8204,1
364,13900000229,50057,90,1
365,13900000229,80609,130,1
366,13900000230,50066,9530,2
367,13900000230,50501,9753,1
368,13900000231,10005,116,1
369,13900000232,10005,154,1
370,13900000233,10001,160,1
371,13900000233,10005,548,3
372,13900000233,10205,9705,1
373,13900000233,11282,36090,2
374,13900000233,51176,76,1
375,13900000233,200335,55,1
376,13900000233,200442,120,1
377,13900000234,100408,484,2
378,13900000234,221061,21398,1
379,13900000234,341549,109,1
380,13900000235,10001,144,1
381,13900000236,271134,110,1
382,13900000237,10005,167,1
383,13900000238,30428,1779,1
384,13900000238,60069,119,1
385,13900000238,180229,89,2
386,13900000239,10005,4204,5
387,13900000240,50057,45,1
388,13900000240,70526,175,2
389,13900000241,340948,230,1
390,13900000242,201154,703,1
391,13900000243,10005,27426,14
392,13900000243,171190,1090,3
393,13900000244,40423,121,1
394,13900000244,180183,64056,1
395,13900000245,81010,490,4
396,13900000245,250331,222,2
397,13900000245,271134,126,1
398,13900000246,10005,80,1
399,13900000247,10005,181,1
400,13900000248,211254,75,1
401,13900000249,200442,114,1
402,13900000250,10005,30877,2
403,13900000251,220492,127,1
404,13900000252,331007,55,1
405,13900000253,10001,285,1
406,13900000254,10005,131,1
407,13900000255,341309,390,1
408,13900000256,10005,170,1
409,13900000257,70106,1222,1
410,13900000258,50066,65,1
411,13900000259,180185,306,2
412,13900000260,10005,300,2
413,13900000261,10001,150,1
414,13900000261,50057,3424,5
415,13900000261,60071,149,1
416,13900000261,61437,62586,2
417,13900000261,70104,15254,5
418,13900000261,71503,9697,4
419,13900000261,181299,15002,1
420,13900000261,200487,199,1
421,13900000261,270974,150,1
422,13900000262,20451,105,1
423,13900000262,180309,15240,2
424,13900000263,10005,150,1
425,13900000263,90355,8132,12
426,13900000263,321054,1158,1
427,13900000263,341310,185,1
428,13900000264,10005,426,1
429,13900000265,10005,1020,5
430,13900000265,40423,462,2
431,13900000266,20451,22378,2
432,13900000267,10001,1490,1
433,13900000268,60494,195,1
434,13900000268,221061,28753,7
435,13900000268,250331,1760,1
436,13900000269,10005,296,1
437,13900000270,231973,70,1
438,13900000271,10005,150,1
439,13900000272,10005,865,3
440,13900000272,10205,60546,2
441,13900000273,10005,1282,7
442,13900000273,40382,164,1
443,13900000273,40423,142,1
444,13900000274,270389,16080,1
445,13900000275,70109,290,1
446,13900000276,30035,105,1
447,13900000276,181512,55,1
448,13900000277,60071,70,1
449,13900000278,10005,465,1
450,13900000278,151186,1801,1
451,13900000279,90144,84,1
452,13900000280,10005,568,3
453,13900000280,201154,1045,1
454,13900000281,10005,2059,1
455,13900000282,341266,586,5
456,13900000282,341492,126,1
457,13900000283,50057,141040,21
458,13900000283,111344,315,1
459,13900000283,170488,126,1
460,13900000284,50057,124,1
461,13900000285,10005,212,2
462,13900000286,341309,198,1
463,13900000287,341919,120,1
464,13900000288,231973,166195,1
465,13900000289,50057,355,1
466,13900000290,10005,136,1
467,13900000291,10005,1617,2
468,13900000292,200442,391,1
469,13900000293,10005,220,2
470,13900000293,11282,30019,1
471,13900000294,180688,165,1
472,13900000295,220499,65,1
473,13900000296,50372,20,1
474,13900000297,10005,191,1
475,13900000298,10005,130,2
476,13900000298,41313,11198,1
477,13900000298,60071,115,1
478,13900000298,70526,960,1
479,13900000298,151229,99,1
480,13900000298,170488,512331,9
481,13900000298,180969,86602,1
482,13900000298,200352,7636,1
483,13900000298,221135,2642,7
484,13900000298,270231,109481,3
485,13900000298,271230,1523,2
486,13900000298,340786,18374,1
487,13900000298,341266,140,1
488,13900000299,10005,0,1
489,13900000300,10005,434,3
490,13900000300,200418,110,1
491,13900000301,10001,190,1
492,13900000302,30035,23901,20
493,13900000302,181512,71,1
494,13900000303,271134,110,1
495,13900000304,10005,150,1
496,13900000305,211343,499,2
497,13900000306,10005,124,1
498,13900000307,10005,281,2
499,13900000308,10005,149,1
500,13900000309,220499,58519,1
501,13900000310,10005,50,1
502,13900000311,10005,265,2
503,13900000312,10001,75,1
504,13900000313,10005,174,1
505,13900000314,10005,190,1
506,13900000315,50057,5263,1
507,13900000316,30035,134949,15
508,13900000316,180183,192886,4
509,13900000316,180688,208,1
510,13900000317,201131,56,1
511,13900000318,71503,75,1
512,13900000319,10005,130,1
513,13900000320,10005,150,1
514,13900000321,10005,96,1
515,13900000322,60070,188,3
516,13900000322,70526,2959,2
517,13900000322,71537,50,1
518,13900000323,10005,198,1
519,13900000324,70109,110,1
520,13900000324,151231,338,3
521,13900000324,171128,125,1
522,13900000324,200442,151,1
523,13900000325,70333,17757,1
524,13900000325,220492,878,3
525,13900000326,10001,4713,1
526,13900000326,10005,52376,6
527,13900000326,30035,494,2
528,13900000327,70109,76,1
529,13900000328,10001,120,1
530,13900000329,10001,44879,6
531,13900000329,180229,44955,6
532,13900000330,10005,159,2
533,13900000330,171190,120,1
534,13900000330,171191,213,2
535,13900000330,200411,80,1
536,13900000331,341568,245,1
537,13900000332,10005,1153,2
538,13900000333,180688,2450,3
539,13900000334,10005,130,1
540,13900000334,30035,21578,15
541,13900000334,180183,2104,1
542,13900000335,370516,2,1
543,13900000336,10001,105,1
544,13900000337,341500,102119,2
545,13900000338,180688,464,2
546,13900000338,271134,1,1
547,13900000338,341309,66455,1
548,13900000339,70106,84,1
549,13900000340,151341,150,1
550,13900000341,10001,11581,3
551,13900000341,10205,688,2
552,13900000341,151375,250,1
553,13900000341,160334,980,2
554,13900000342,10005,150,1
555,13900000343,211635,285,1
556,13900000344,10001,149,1
557,13900000344,20450,60,1
558,13900000344,30044,145,1
559,13900000344,50057,194,1
560,13900000344,80609,505,1
561,13900000344,171128,190,1
562,13900000344,180309,15070,1
563,13900000345,10001,1399,1
564,13900000345,10005,80,1
565,13900000345,330481,1429,1
566,13900000346,71455,110,1
567,13900000347,10001,110,1
568,13900000347,10005,185,1
569,13900000348,20451,90207,2
570,13900000348,70093,167806,2
571,13900000349,10001,1741,1
572,13900000349,10005,1788,1
573,13900000349,71455,1879,1
574,13900000349,160334,325,1
575,13900000349,180229,4033,4
576,13900000350,10005,222,2
577,13900000351,10005,70,1
578,13900000352,10005,19078,5
579,13900000353,300856,224458,2
580,13900000354,271134,150,1
581,13900000355,10005,191,1
582,13900000356,10205,19820,2
583,13900000356,330400,4949,1
584,13900000357,10005,164,1
585,13900000358,70109,278,1
586,13900000359,10005,121,1
587,13900000360,40384,547,1
588,13900000360,220371,19793,1
589,13900000361,10001,144,1
590,13900000361,70098,104,1
591,13900000362,70109,160,1
592,13900000363,50417,1600,1
593,13900000364,10001,1909,3
594,13900000364,10005,11262,8
595,13900000364,20451,16941,11
596,13900000364,30428,2045,1
597,13900000364,50053,1519,1
598,13900000364,180229,32196,1
599,13900000364,181315,1670,1
600,13900000364,200487,240,1
601,13900000364,270231,121,1
602,13900000365,10005,21999,4
603,13900000365,10205,53272,1
604,13900000366,20022,540,3
605,13900000367,10005,2160,1
606,13900000368,10005,2130,1
607,13900000369,20451,510,2
608,13900000369,50048,162186,5
609,13900000369,180309,124,1
610,13900000370,71455,105,1
611,13900000370,80520,20951,1
612,13900000371,10005,265,1
613,13900000371,20451,133919,9
614,13900000371,180309,52281,2
615,13900000372,10005,300,2
616,13900000372,70103,81,1
617,13900000373,10005,2096,2
618,13900000374,10005,170,1
619,13900000374,10205,3797,1
620,13900000374,200335,112,1
621,13900000375,10005,1143,1
622,13900000375,201781,105,2
623,13900000375,320292,8969,17
624,13900000375,320466,18018,10
625,13900000375,321122,6368,6
626,13900000376,10005,287,2
627,13900000377,270232,18145,6
628,13900000377,271347,146,1
629,13900000378,151383,80,1
630,13900000379,10005,241,1
631,13900000380,271134,160,2
632,13900000381,10005,7503,9
633,13900000382,10001,150,1
634,13900000383,30044,10830,27
635,13900000383,40512,341,2
636,13900000384,10001,111932,6
637,13900000384,10005,381,2
638,13900000384,60069,771,2
639,13900000384,330400,19526,8
640,13900000385,10001,4575,2
641,13900000386,70106,2521,1
642,13900000386,200838,481046,7
643,13900000387,10005,71,1
644,13900000388,70109,387,3
645,13900000389,270832,9873,6
646,13900000390,20450,76,1
647,13900000390,41467,120,1
648,13900000390,50051,490,1
649,13900000390,70096,136,1
650,13900000390,180688,342,1
651,13900000390,220499,1957,3
652,13900000390,221193,75,1
653,13900000390,270974,6791,1
654,13900000390,271134,220,1
655,13900000390,340788,36661,1
656,13900000391,81416,50835,3
657,13900000392,10005,151,1
658,13900000393,70096,141,1
659,13900000394,80582,171,1
660,13900000395,80609,290,1
661,13900000396,50054,269,1
662,13900000397,10001,1990,1
663,13900000398,10005,241,1
664,13900000399,10001,301,2
665,13900000399,10205,49,1
666,13900000399,200335,69,1
667,13900000400,10001,149,1
668,13900000401,10005,150,1
669,13900000402,250284,2103,1
670,13900000403,10005,315,2
671,13900000404,50367,165,1
672,13900000405,20341,40670,1
673,13900000406,10005,170,1
674,13900000407,10005,1143,7
675,13900000408,180309,329,1
676,13900000408,271134,427,1
677,13900000409,10001,11055,1
678,13900000409,10005,528,4
679,13900000409,181512,4560,1
680,13900000409,340877,1616,1
681,13900000410,10001,59975,1
682,13900000410,10005,116182,5
683,13900000410,90144,75,1
684,13900000410,200442,390,1
685,13900000411,180688,180,1
686,13900000412,230221,16972,7
687,13900000413,20023,761,8
688,13900000413,80609,202,1
689,13900000414,10005,190,1
690,13900000414,50048,115,1
691,13900000415,10001,37026,9
692,13900000415,10005,111,1
693,13900000415,10205,37983,8
694,13900000415,70106,293,1
695,13900000415,71455,1099,3
696,13900000415,80520,1560,1
697,13900000415,200335,11958,18
698,13900000415,311360,131,1
699,13900000416,10001,97,1
700,13900000417,10001,71,1
701,13900000417,60494,30916,1
702,13900000417,200335,187,2
703,13900000418,10005,246,2
704,13900000419,70109,11352,2
705,13900000420,30035,2020,1
706,13900000421,10005,3478,7
707,13900000422,10005,74485,19
708,13900000423,10005,231,1
709,13900000424,221061,80952,1
710,13900000425,10005,146,1
711,13900000426,10006,22685,4
712,13900000426,70106,92,1
713,13900000426,200335,55,1
714,13900000426,210356,350,1
715,13900000427,10005,1210,10
716,13900000428,10001,2165,1
717,13900000428,10005,2065,3
718,13900000428,180229,225,1
719,13900000429,10005,19969,2
720,13900000430,350080,23050,1
721,13900000431,80517,189,1
722,13900000432,10005,150,1
723,13900000433,340803,103872,1
724,13900000434,50485,14895,4
725,13900000434,51176,4830,1
726,13900000434,100408,105,1
727,13900000434,201890,96807,2
728,13900000434,220499,93743,1
729,13900000434,270231,17397,1
730,13900000434,270232,56,1
731,13900000434,290896,370794,7
732,13900000434,291037,206341,10
733,13900000434,341531,22344,1
734,13900000435,10005,299,4
735,13900000436,10001,17580,1
736,13900000436,40423,56,1
737,13900000436,50053,130,1
738,13900000436,330391,30222,1
739,13900000437,10001,205,1
740,13900000438,70385,59,1
741,13900000438,70526,1693,1
742,13900000438,180183,45851,10
743,13900000438,180216,355,1
744,13900000438,320403,105,1
745,13900000438,321511,19070,1
746,13900000438,370955,61984,1
747,13900000439,10001,71,1
748,13900000439,10005,77993,10
749,13900000439,10205,3466,1
750,13900000439,30035,65,1
751,13900000439,50053,166,1
752,13900000440,80609,186,1
753,13900000441,10001,154,1
754,13900000441,30428,229,1
755,13900000441,151499,3480,1
756,13900000441,200442,201,1
757,13900000441,211504,8414,2
758,13900000441,270974,2835,1
759,13900000442,10005,165,1
760,13900000443,70333,2420,1
761,13900000443,170410,1685,1
762,13900000444,10001,110,1
763,13900000444,51636,673,2
764,13900000444,81687,112,1
765,13900000444,330481,135,1
766,13900000445,70526,95,1
767,13900000445,330481,3585,3
768,13900000446,171190,2030,5
769,13900000447,81140,117795,1
770,13900000447,170392,111,1
771,13900000447,270231,77,1
772,13900000447,270612,25947,4
773,13900000447,271633,150964,8
774,13900000447,271997,763,1
775,13900000447,320403,36960,1
776,13900000448,40423,150,1
777,13900000449,10005,318,3
778,13900000450,10005,2361,2
779,13900000450,221061,302,3
780,13900000450,341409,1865,1
781,13900000451,70109,800,1
782,13900000452,10005,120,1
783,13900000453,10005,151,1
784,13900000454,10005,151,1
785,13900000455,270232,34793,8
786,13900000456,10005,3850,2
787,13900000456,10008,15147,4
788,13900000456,60458,4504,4
789,13900000456,151267,1581,1
790,13900000456,200442,2269,1
791,13900000457,10005,202,2
792,13900000458,70109,150,1
793,13900000459,50053,0,1
794,13900000460,10001,55853,3
795,13900000460,30428,95,1
796,13900000460,60070,144,2
797,13900000460,200335,79,1
798,13900000460,200487,1158,6
799,13900000461,10005,229,1
800,13900000461,100408,94,1
801,13900000462,10005,125,1
802,13900000463,81416,9863,4
803,13900000464,10001,390,1
804,13900000464,10205,459,2
805,13900000465,50057,70,1
806,13900000465,70109,110,1
807,13900000465,100408,159,1
808,13900000465,271134,150,1
809,13900000466,10001,239,1
810,13900000467,90144,109,1
811,13900000468,70106,104,1
812,13900000468,200442,285,1
813,13900000469,200415,0,1
814,13900000470,10005,160,1
815,13900000470,70526,99362,1
816,13900000471,10001,146,1
817,13900000471,70106,1327,1
818,13900000471,70526,22606,1
819,13900000471,71455,100,1
820,13900000472,10005,1956,3
821,13900000472,10006,22103,3
822,13900000473,10005,833,4
823,13900000474,80609,324,1
824,13900000475,10001,36675,1
825,13900000475,10005,700,4
826,13900000475,71455,37296,1
827,13900000476,71249,125,1
828,13900000477,71455,108658,3
829,13900000478,10005,110,1
830,13900000479,200335,60,1
831,13900000479,241248,90,1
832,13900000480,10005,141,1
833,13900000481,171128,105,1
834,13900000482,151342,240,1
835,13900000483,40382,180,1
836,13900000483,60071,350,2
837,13900000483,81416,168850,3
838,13900000484,210846,122,1
839,13900000484,250331,97062,1
840,13900000484,271134,190,1
841,13900000484,310401,120868,1
842,13900000485,30035,7934,6
843,13900000485,151267,1280,1
844,13900000485,170488,171,2
845,13900000485,201131,71,1
846,13900000485,221135,3233,5
847,13900000485,270232,4163,2
848,13900000486,10005,150,1
849,13900000487,320403,218,1
850,13900000488,310323,44393,27
851,13900000489,10005,1221,1
852,13900000490,10005,495,1
853,13900000491,71249,190,1
854,13900000491,231973,80,1
855,13900000492,10001,120,1
856,13900000493,10005,2140,1
857,13900000494,70109,369,2
858,13900000494,220499,22656,1
859,13900000494,271230,379,1
860,13900000495,10005,531,3
861,13900000496,10005,191,1
862,13900000497,10005,320,2
863,13900000498,40474,90,1
864,13900000498,200439,2241,1
865,13900000499,10005,1214,2
866,13900000500,10005,465,1
867,13900000501,10005,144,1
868,13900000502,10001,229,1
869,13900000503,10005,2584,2
870,13900000504,10005,2275,2
871,13900000505,341211,139,1
872,13900000506,10005,1128,3
873,13900000507,50057,70,1
874,13900000507,151250,85,1
875,13900000508,10005,111,1
876,13900000509,10001,101,1
877,13900000509,10005,139,1
878,13900000509,50057,71,1
879,13900000510,50065,665,1
880,13900000511,10005,9616,8
881,13900000512,10005,628,4
882,13900000513,10005,426,2
883,13900000514,70109,300,2
884,13900000515,10005,10870,10
885,13900000515,10006,2500,6
886,13900000515,270386,150,1
887,13900000515,350080,953,2
888,13900000516,180229,114,1
889,13900000517,10005,59752,1
890,13900000518,10005,818,6
891,13900000519,341309,70,1
892,13900000520,10001,5260,1
893,13900000521,80609,230,1
894,13900000522,10005,233,1
895,13900000523,10005,4144,2
896,13900000524,50048,11696,1
897,13900000524,340812,129,1
898,13900000525,10005,3879,18
899,13900000526,81140,180,1
900,13900000527,50057,70,1
901,13900000528,200442,312,1
902,13900000529,70109,8342,2
903,13900000530,11282,135,1
904,13900000531,70328,165,1
905,13900000532,221061,82367,1
906,13900000532,370955,45880,1
907,13900000533,10005,2670,2
908,13900000534,10001,101032,1
909,13900000534,10005,177,1
910,13900000535,20451,25958,1
911,13900000535,180309,26057,4
912,13900000535,241295,14093,1
913,13900000536,10005,6520,2
914,13900000536,10205,4444,3
915,13900000536,50053,411,1
916,13900000537,151341,3202,9
917,13900000538,10001,341,1
918,13900000539,151341,180,1
919,13900000540,10005,120,1
920,13900000541,341309,270,1
921,13900000542,10005,0,1
922,13900000543,200476,3520,2
923,13900000544,90144,230,3
924,13900000544,270231,70,1
925,13900000545,70109,219,2
926,13900000546,50057,130,1
927,13900000547,10005,77777,7
928,13900000547,10205,10032,2
929,13900000547,70385,290,1
930,13900000548,10001,65,1
931,13900000549,271134,169,1
932,13900000550,10005,1456,7
933,13900000550,200442,430,1
934,13900000551,10001,87858,1
935,13900000551,10005,236,1
936,13900000552,170392,36082,1
937,13900000553,10005,36910,1
938,13900000554,270974,230,2
939,13900000555,10001,32010,1
940,13900000555,10005,76098,3
941,13900000556,341309,465,2
942,13900000557,10005,3774,5
943,13900000557,340812,2075,1
944,13900000558,230253,0,1
945,13900000559,10005,170,1
946,13900000560,90144,610,5
947,13900000561,70109,150,1
948,13900000562,30428,134,1
949,13900000563,30428,154,1
950,13900000563,180229,436,1
951,13900000564,271134,1102,1
952,13900000565,10005,1102,1
953,13900000566,10005,190,1
954,13900000567,10005,1958,3
955,13900000568,10005,8845,7
956,13900000568,151186,2030,1
957,13900000569,10005,0,1
958,13900000570,10005,154,1
959,13900000571,170360,515,1
960,13900000572,10005,116,1
961,13900000573,10005,135,1
962,13900000573,70526,24500,2
963,13900000574,10005,1466,1
964,13900000575,10005,721,4
965,13900000575,341309,145,1
966,13900000576,10005,1668,7
967,13900000577,21008,81522,1
968,13900000577,201038,341,1
969,13900000578,50057,936,3
970,13900000579,201131,191,1
